ItemName;ItemCode;Empresa;createdate;updatedate;u_categoria;u_estilo;u_genero;u_familia;u_descrip_color;u_sellitem;BarCode
2170111571/TOP/38/Negro;101000019660415;SBO_RD_DISREGRD;04/01/2024 0:00;23/02/2024 0:00;CAMISA/BLUSA/TOP;2170111571;WOMENS;APPAREL;NEGRO;1;8.44557E+12
2170111571/TOP/40/Negro;101000019663515;SBO_RD_DISREGRD;04/01/2024 0:00;23/02/2024 0:00;CAMISA/BLUSA/TOP;2170111571;WOMENS;APPAREL;NEGRO;1;8.44557E+12
2170221301/TOP/42/Tabaco;101000020420715;SBO_RD_DISREGRD;04/01/2024 0:00;19/01/2024 0:00;CAMISA/BLUSA/TOP;2170221301;WOMENS;APPAREL;TABACO;1;8.44557E+12
2170221301/TOP/44/Tabaco;101000020420915;SBO_RD_DISREGRD;04/01/2024 0:00;19/01/2024 0:00;CAMISA/BLUSA/TOP;2170221301;WOMENS;APPAREL;TABACO;1;8.44557E+12
2170321671/TOP/38/Verde hierba;101000021760415;SBO_RD_DISREGRD;04/01/2024 0:00;20/06/2024 0:00;CAMISA/BLUSA/TOP;2170321671;WOMENS;APPAREL;VERDE HIERBA;1;8.44557E+12
2170321671/TOP/42/Verde hierba;101000021760715;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2170321671;WOMENS;APPAREL;VERDE HIERBA;1;8.44557E+12
2170321671/TOP/44/Verde hierba;101000021760915;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2170321671;WOMENS;APPAREL;VERDE HIERBA;1;8.44557E+12
2170321671/TOP/40/Verde hierba;101000021763515;SBO_RD_DISREGRD;04/01/2024 0:00;20/06/2024 0:00;CAMISA/BLUSA/TOP;2170321671;WOMENS;APPAREL;VERDE HIERBA;1;8.44557E+12
2170411411/TOP/36/Rojo oscuro;101000022560315;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2170411411;WOMENS;APPAREL;ROJO OSCURO;1;8.44557E+12
2170411411/TOP/38/Rojo oscuro;101000022560415;SBO_RD_DISREGRD;04/01/2024 0:00;19/01/2024 0:00;CAMISA/BLUSA/TOP;2170411411;WOMENS;APPAREL;ROJO OSCURO;1;8.44557E+12
2170411411/TOP/42/Rojo oscuro;101000022560715;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2170411411;WOMENS;APPAREL;ROJO OSCURO;1;8.44557E+12
2170513601/TOP/42/Verde;101000023770715;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2170513601;WOMENS;APPAREL;VERDE;1;8.44557E+12
2170513601/TOP/44/Verde;101000023770915;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2170513601;WOMENS;APPAREL;VERDE;1;8.44557E+12
2170616151/TOP/38/Dorado-Libra;101000024020415;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2170616151;WOMENS;APPAREL;DORADO-LIBRA;1;8.44557E+12
2170616152/TOP/40/Rosa;101000024303515;SBO_RD_DISREGRD;04/01/2024 0:00;23/02/2024 0:00;CAMISA/BLUSA/TOP;2170616152;WOMENS;APPAREL;ROSADO;1;8.44557E+12
2170716222/TOP/36/Naranja oscuro;101000025100315;SBO_RD_DISREGRD;04/01/2024 0:00;23/07/2024 0:00;CAMISA/BLUSA/TOP;2170716222;WOMENS;APPAREL;NARANJA OSCURO;1;8.44557E+12
2170716222/TOP/38/Naranja oscuro;101000025100415;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2170716222;WOMENS;APPAREL;NARANJA OSCURO;1;8.44557E+12
2170716222/TOP/40/Naranja oscuro;101000025103515;SBO_RD_DISREGRD;04/01/2024 0:00;23/07/2024 0:00;CAMISA/BLUSA/TOP;2170716222;WOMENS;APPAREL;NARANJA OSCURO;1;8.44557E+12
2171015781/TOP/36/Blanco y negro;101000026110315;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2171015781;WOMENS;APPAREL;BLANCO Y NEGRO;1;8.44557E+12
2171015781/TOP/38/Blanco y negro;101000026110415;SBO_RD_DISREGRD;04/01/2024 0:00;31/01/2025 0:00;CAMISA/BLUSA/TOP;2171015781;WOMENS;APPAREL;BLANCO Y NEGRO;1;8.44557E+12
2171015781/TOP/40/Blanco y negro;101000026110715;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2171015781;WOMENS;APPAREL;BLANCO Y NEGRO;1;8.44557E+12
2171015781/TOP/42/Blanco y negro;101000026113515;SBO_RD_DISREGRD;04/01/2024 0:00;31/01/2025 0:00;CAMISA/BLUSA/TOP;2171015781;WOMENS;APPAREL;BLANCO Y NEGRO;1;8.44557E+12
2220117691/CAMISA/42/Blanco;101000043110715;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2220117691;WOMENS;APPAREL;BLANCO;1;8.44557E+12
2220117691/CAMISA/44/Blanco;101000043110915;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2220117691;WOMENS;APPAREL;BLANCO;1;8.44557E+12
2220117691/CAMISA/40/Blanco;101000043113515;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2220117691;WOMENS;APPAREL;BLANCO;1;8.44557E+12
2220315833/CAMISA/36/Granate;101000044350315;SBO_RD_DISREGRD;04/01/2024 0:00;20/06/2024 0:00;CAMISA/BLUSA/TOP;2220315833;WOMENS;APPAREL;GRANATE;1;8.44557E+12
2220315833/CAMISA/38/Granate;101000044350415;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2220315833;WOMENS;APPAREL;GRANATE;1;8.44557E+12
2220315833/CAMISA/42/Granate;101000044350715;SBO_RD_DISREGRD;04/01/2024 0:00;21/11/2024 0:00;CAMISA/BLUSA/TOP;2220315833;WOMENS;APPAREL;GRANATE;1;8.44557E+12
2220315833/CAMISA/44/Granate;101000044350915;SBO_RD_DISREGRD;04/01/2024 0:00;20/06/2024 0:00;CAMISA/BLUSA/TOP;2220315833;WOMENS;APPAREL;GRANATE;1;8.44557E+12
2220315832/CAMISA/42/Negro;101000044660715;SBO_RD_DISREGRD;04/01/2024 0:00;30/10/2024 0:00;CAMISA/BLUSA/TOP;2220315832;WOMENS;APPAREL;NEGRO;1;8.44557E+12
2220324221/CAMISA/38/Blanco;101000045110415;SBO_RD_DISREGRD;04/01/2024 0:00;20/06/2024 0:00;CAMISA/BLUSA/TOP;2220324221;WOMENS;APPAREL;BLANCO;1;8.44557E+12
2220619341/CAMISA/36/Negro;101000046660315;SBO_RD_DISREGRD;04/01/2024 0:00;23/02/2024 0:00;CAMISA/BLUSA/TOP;2220619341;WOMENS;APPAREL;NEGRO;1;8.44557E+12
