U_Estilo;U_Descripcion;U_Descrip_Color;U_Segmentacion_SK;U_Zone
C20719;;BLK CLSD HO BLK;ZEROGRAND;OXFORD
C31884;;CH BRITISH TAN/JAVA;4.ZEROGRAND;OXFORD
C33452;;BLACK/BLACK;4.ZEROGRAND;OXFORD
C33840;;Sleet;4.ZEROGRAND;SPORT
C34029;;Black-Magnet;4.ZEROGRAND;LOAFER
C34225;;Black;GRANDPRO;SPORT
C35427;;Quiet Shade Stitchlite;ZEROGRAND;OXFORD
C35675;;CH BRITISH TAN/SILVER BIRCH;ZEROGRAND;OXFORD
C35977;;Quetzal Green;4.ZEROGRAND;SPORT
C36191;;Mortar Knit;ZEROGRAND;SPORT
C36325;;Dazzling Blue;2.ZEROGRAND;SPORT
C36354;;Chestnut;GRANDPRO;SPORT
C36355;;Egret-Trekking Green;GRANDPRO;SPORT
C36364;;Dark Pavement Stitchlite;ZEROGRAND;SPORT
C36452;;Black;GRANDPRO;SPORT
C36474;;BRITISH TAN/IVORY;GRANDPRO;SPORT
C36513;;Black Croc Print-Black;ORIGINAL GRAND;OXFORD
C36983;;Dune-Dove-Angora;2.ZEROGRAND;SPORT
C37012;;Barley Beige Vachetta-Ivory;GRANDPRO;SPORT
C37036;;BLACK-BLACK;ZEROGRAND;OXFORD
C37079;;Chestnut Spectator;OTHER;LOAFER
C37158;;British Tan;GRANDPRO;SPORT
C37240;;Oat-Fleece-Ivory;GRANDPRO;SPORT
C37341;;Dark Chocolate-Gold Fusion;ZEROGRAND;OXFORD
C37399;;BLK-GOLDEN TOFFEE;GRANDPRO;SPORT
C37656;;CHIRISH COFFEE-NA;2.ZEROGRAND;OXFORD
C37833;;BLOODSTONE- PINOT;4.ZEROGRAND;OXFORD
C38146;;CHWOODBURY/CHDAR;OTHER;SANDAL
C38217;;REDWOOD SUEDE-WHITE CAP GREY;OTHER;OTHER
C38255;;NAVY BLAZER BURNIS;4.ZEROGRAND;OXFORD
C38272;;MOREL/IVORY;ZEROGRAND;OXFORD
C38657;;Sequoia-Chocolate-Leopard Print;5.ZEROGRAND;OXFORD
C38685;;BLACK/BLACK;ORIGINAL GRAND;OXFORD
C38744;;BLOODSTONE-SYRAH B;ORIGINAL GRAND;OXFORD
C38750;;WOODBURY/BIRCH;ZEROGRAND;SPORT
C38936;;BLACK/IVORY;ZEROGRAND;SPORT
C39026;;MARINE BLUE/IVORY;GRAND CROSSCOURT;SPORT
C39097;;Black-Blue Bell;5.ZEROGRAND;OXFORD
C39298;;BLK/PONDEROSAPINE;ZEROGRAND;SPORT
C39321;;BLUEBERRY/PARADISE;GRANDPRO;SPORT
C39350;;BLUEBRRY/BLUEBRRY;5.ZEROGRAND;OXFORD
C39507;;FOLKSTONE GREY-SILVER LINING-IRISH COFFEE;ORIGINAL GRAND;OXFORD
C39573;;SLEET-MICROCHIP;5.ZEROGRAND;OXFORD
C39593;;BLACK-BLACK;ZEROGRAND;OXFORD
C39596;;MARINE BLUE-IVORY;ZEROGRAND;OXFORD
C39632;;OPTCWHTE/NIMBCLD;ORIGINAL GRAND;SPORT
C39762;;CH BRITTAN CH MAD;AMERICAN CLASSICS;LOAFER
C39783;;BRTSH TN/NAVYBLZR;GRANDPRO;SPORT
C39891;;LAVASMOKENUBUCK;AMERICAN CLASSICS;LOAFER
C39999;;TRUFFLE/PAVEMENT;ZEROGRAND;OXFORD
C40060;;WHITE-WHITE CAP GRAY-BLUE WING TEAL-GOJI BERRY-LIGHT GUM T;GRANDPRO;SPORT
C40070;;NAVY BLZR DK CHOC;GRANDPRO;SPORT
C40381;;BUCKWHEAT/ORZO/GUM;GRANDPRO;SPORT
C40399;;MAGNETNUBUCK;ORIGINAL GRAND;OXFORD
C40473;;Black Leather-White;GRANDPRO;SPORT
C40491;;BRITISHTAN/IVORY;ORIGINAL GRAND;OXFORD
C40495;;BRITISHTAN/DKNAT;ZEROGRAND;OXFORD
C40534;;NAVY BLZR LAVA SMK;ZEROGRAND;LOAFER
C40546;;NAVY BLZR/BRTSH TN;ZEROGRAND;LOAFER
C40587;;LT SESAME/CARAMEL;GRANDPRO;SPORT
C40797;;ANCNTSCRLL/BIRCH;2.ZEROGRAND;SPORT
C40802;;BIRCH BEIGE SUEDE;OTHER;SANDAL
C41650;;MARINE BLUE;OTHER;OXFORD
C41651;;BLK/ BRIT TAN;OTHER;OXFORD
