U_Descripcion;U_Estilo;U_Descrip_Color;PATTERN;Upper Fabrication;Category;U_Zone;U_Segmentacion_SK;In-Store Month;Sport End Use Silhouette;Sport End Use Performance;COO;Marketing;Ecom Mandatory;PATTERN NEWNESS;SKU C/O STATUS ;Retail;Wholesale;Disc. Whsl;Available Sizes;WIDE AVAILABLE (YES OR NO);Preferred Width (If no width is specified, it will be regular by default);5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;13;14;15;16;Total Units;Total Disc. Wholesale;ASSORT;;TIPO;UNITS;ST;STOCK;;TOTAL;WIN24;SP25;SU25
2.ZEROGRAND LASER WINGTIP OXFORD LINED;C23832;BLACK LEATHER/BLACK;P114782;LEATHER;MFW;Oxford;2.ZEROGRAND;AUG; ; ;VIETNAM;;;Carryover;Carryover;$220.00;$110.00;#¡REF!;Men's--M 7-12,13,14,15,16  W 7-12,13,14,15;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;6;6;0;0
2.ZEROGRAND LASER WINGTIP OXFORD LINED;C25351;BRITISH TAN/JAVA;P114782;LEATHER;MFW;Oxford;2.ZEROGRAND;AUG; ; ;VIETNAM;;;Carryover;Carryover;$220.00;$110.00;#¡REF!;Men's--M 7-12,13,14,15,16  W 7-12,13,14,15;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
2.ZEROGRAND LASER WINGTIP OXFORD LINED;C41011;MOREL / MARMALADE/ SILVER BIRCH;P114782;LEATHER;MFW;Oxford;2.ZEROGRAND;SEPT; ; ;VIETNAM;;;Carryover;New;$220.00;$110.00;#¡REF!;Men's--M 7-12,13,14,15,16  W 7-12,13,14,15;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
5.ZEROGRAND WING OX;C36508;BLACK/PAVEMENT/STORMCLOUD;P122897;LEATHER;MFW;Oxford;Zero Grand;AUG;;;VIETNAM;;;Carryover;Carryover;$250.00;$125.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;17;;24;24;0;0
5.ZEROGRAND WING OX;C38657;CH DARK SEQUOIA/ALABASTER GLEAM;P122897;LEATHER;MFW;Oxford;Zero Grand;AUG;;;VIETNAM;;;Carryover;Carryover;$250.00;$125.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;B;#¡REF!;0%;12;;24;24;0;0
2.ZEROGRAND STITCHLITE OXFORD;C27569;MARINE BLUE/VAPOR GREY;P117183;STITCHLITE;MFW;Oxford;2.ZEROGRAND;AUG; ; ;VIETNAM;;;Carryover;Carryover;$200.00;$100.00;#¡REF!;Men's--M 7-12,13,14,15,16;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
2.ZEROGRAND STITCHLITE OXFORD;C28527;BLACK/ BLACK;P117183;STITCHLITE;MFW;Oxford;2.ZEROGRAND;AUG; ; ;VIETNAM;;;Carryover;Carryover;$200.00;$100.00;#¡REF!;Men's--M 7-12,13,14,15,16;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;11;;6;6;0;0
2.ZEROGRAND STITCHLITE OXFORD;C41018;DK BRICK / MIDNIGHT MOON / PALOMA;P117183;STITCHLITE;MFW;Oxford;2.ZEROGRAND;AUG; ; ;VIETNAM;;;Carryover;New;$200.00;$100.00;#¡REF!;Men's--M 7-12,13,14,15,16;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
AMERICAN CLASSICS HAMPTON LOAFER;C39761;BLACK / IVORY;P124968;LEATHER;MFW;Loafer;AMERICAN CLASSICS;AUG; ; ;INDIA;;;Carryover;Carryover;$200.00;$100.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;12;6;6;0
AMERICAN CLASSICS HAMPTON LOAFER;C39762;CH BRITISH TAN / CH MADEIRA;P124968;LEATHER;MFW;Loafer;AMERICAN CLASSICS;AUG; ; ;INDIA;;;Carryover;Carryover;$200.00;$100.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;12;6;6;0
AMERICAN CLASSICS HAMPTON LOAFER;C41456;TRUFFLE NUBUCK / IVORY;P124968;NUBUCK;MFW;Loafer;AMERICAN CLASSICS;SEPT; ; ;INDIA;;;Carryover;New;$200.00;$100.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
CH x UNITED ARROWS APRON ASHLAND GOLF;C42292;WHITE / WHITE / BLACK;P126236;TEXTILE / LEATHER;MFW;Sport;UNITED ARROWS;AUG;Golf;Performance;VIETNAM;;;New;New;$220.00;$110.00;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
CH X UNITED ARROWS ZG MONK GOLF;C41837;OPTIC WHITE / DUSTY BLUE;P125923;TEXTILE / LEATHER;MFW;Sport;UNITED ARROWS;AUG;Golf;Performance;VIETNAM;;;New;New;$190.00;$95.00;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
CH X UNITED ARROWS ZG MONK GOLF;C41838;OPTIC WHITE / CH IRISH COFFEE;P125923;TEXTILE / LEATHER;MFW;Sport;UNITED ARROWS;AUG;Golf;Performance;VIETNAM;;;New;New;$190.00;$95.00;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
DAVIES GRAND PENNY DRIVING LOAFERS;C41726;BLACK / BLACK;P125885;LEATHER;MFW;Driver;GRAND SERIES ;AUG; ; ;INDIA;;;Carryover;Carryover;$180.00;$90.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;6;0;0;6
DAVIES GRAND PENNY DRIVING LOAFERS;C41727;CH BRITISH TAN /CH JAVA;P125885;LEATHER;MFW;Driver;GRAND SERIES ;AUG; ; ;INDIA;;;Carryover;Carryover;$180.00;$90.00;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GENERATION ZEROGRAND II ULTRA SNEAKER;C41303;PALOMA / CH OAT / CH FARRO / IVORY;P125528;LEATHER/TEXTILE;MFW;Sport;GENERATION ZEROGRAND;AUG;;;VIETNAM;;;Carryover;New;$170.00;$85.00;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;C+;#¡REF!;0%;0;;0;0;0;0
GENERATION ZEROGRAND II ULTRA SNEAKER;C41304;RAVEN / BLACK / CH OAT;P125528;LEATHER/TEXTILE;MFW;Sport;GENERATION ZEROGRAND;OCT;;;VIETNAM;;;Carryover;New;$170.00;$85.00;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;C+;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT DOWNTOWN;C39831;BLACK / PAVEMENT / IVORY;P124978;LEATHER;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;Carryover;$165.00;$82.50;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT DOWNTOWN;C39832;NAVY BLAZER / IVORY / BRITISH TAN;P124978;LEATHER;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;Carryover;$165.00;$82.50;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT DOWNTOWN;C41199;IVORY / DK BLUE / IVORY;P124978;LEATHER;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;New;$165.00;$82.50;#¡REF!;Men's--M 7-12,13  W 7-12,13;YES;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT STITCHLITE RUNOX SNKRS;C40485;BLACK/BRITISH TAN/IVORY;P125486;STITCHLITE;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;Carryover;$135.00;$67.50;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT STITCHLITE RUNOX SNKRS;C40553;TITANIUM/TORNADO/NATURAL TAN/IVORY;P125486;STITCHLITE;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;Carryover;$135.00;$67.50;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
GRAND CROSSCOURT STITCHLITE RUNOX SNKRS;C40554;NAVY BLAZER/MARINE BLUE/BRITISH TAN/IVORY;P125486;STITCHLITE;MFW;Sport;GRAND CROSSCOURT;AUG;;;VIETNAM;;;Carryover;Carryover;$135.00;$67.50;#¡REF!;Men's--M 7-12,13;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#¡REF!;;;;#¡REF!;0%;0;;0;0;0;0
