U_Descripcion;U_Descrip_Color;U_Estilo;PROTO #;FABRICATRION;CATEGORY;U_Zone;U_Segmentacion_SK;IN STORE MONTH;PATTERN STATUS (CARRYOVER OR NEW);SKU STATUS ;ECOM;MARKETING;DESCRIPTION;Dimensions;Retail;Wholesale;Disc. Whsl;SIZE;Total Units;Total Disc. Wholesale;;ST;STOCK
BEVERLY MINI SATCHEL;BLACK;U07759;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;;;;0%;0
BEVERLY MINI SATCHEL;ZEPHYR;U07760;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;;;;0%;0
BEVERLY MINI SATCHEL;IRISH COFFEE;U07761;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;1;;;0%;0
BEVERLY MINI SATCHEL;CH MIDNIGHT MOON;U07762;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;;;;0%;0
BEVERLY MINI SATCHEL;BLACK GARNET;U08114;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;;;;0%;0
BEVERLY MINI SATCHEL;HONEY;U08115;P125615;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Leather CH hangtag
Double zip closure
Removable leather Crossbody strap
Interior zip pocket & slip pocket";"7""x3-3/8""x5""
Handle Drop: 3-1/2""
Strap Drop: '20"" on middle hole";$230.00 ;$115.00 ;#¡REF!;OS;1;;;0%;0
BEVERLY SMALL SATCHEL;BLACK;U07445;P125187;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"top handles 
Removable and adjustable crossbody strap
Interior zip pocket
exterior slip pockets
CH leather handtag
Top zip closure";"10” x 3.6” x 6.6”
Handle Drop: 3.4”
Strap Drop: 20” (removable)";$260.00 ;$130.00 ;#¡REF!;OS;1;;;0%;0
BEVERLY SMALL SATCHEL;HERRINGBONE TWEED/ BLACK;U07764;P125187;TWEED / LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"top handles 
Removable and adjustable crossbody strap
Interior zip pocket
exterior slip pockets
CH leather handtag
Top zip closure";"10” x 3.6” x 6.6”
Handle Drop: 3.4”
Strap Drop: 20” (removable)";$260.00 ;$130.00 ;#¡REF!;OS;;;;0%;0
CARD CASE W/ZIP;IVORY / CH BLACK GARNET / CH SPICED BROWN / CH MADIERA BROWN CH MIDNIGHT MOON;U07766;P121010;LEATHER;WACC;SLG;GRAND SERIES;AUG;Carryover;New;;;"Crafted in pebbled leather
Secure zip top closure
Key ring with chain
5 card slots
Coin compartment";4.5”L x 3.5”W;$70.00 ;$35.00 ;#¡REF!;OS;2;;;0%;0
CARD CASE W/ZIP;CH BLACK GARNET;U07767;P121010;LEATHER;WACC;SLG;GRAND SERIES;AUG;Carryover;New;;;"Crafted in pebbled leather
Secure zip top closure
Key ring with chain
5 card slots
Coin compartment";4.5”L x 3.5”W;$70.00 ;$35.00 ;#¡REF!;OS;;;;0%;0
