U_Estilo;U_Silueta;U_Team;U_Descrip_Color;U_Segmento;U_Liga;U_Coleccion_NE;U_Genero;U_Descripcion;U_Temporalidad;ItemCode;Empresa;ItemName;U_Talla
60748342;940;TRUE;NAVY;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;940 PNSTRP NVY TRUE;SS 25;8101170000000.0;SBO_00_DISRESALV;60748342/940 PNSTRP NVY TRUE/OSFM;OSFM
60748343;940;TRUE;DARK GREEN;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;940 PNSTRP DK GRN TRUE;SS 25;8101170000000.0;SBO_00_DISRESALV;60748343/940 PNSTRP DK GRN TRUE/OSFM;OSFM
60748344;5950;TRUE;BLACK;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;5950 LEOPARD BLK TRUE;SS 25;8101180000000.0;SBO_00_DISRESALV;60748344/5950 LEOPARD BLK TRUE/700;700
60748344;5950;TRUE;BLACK;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;5950 LEOPARD BLK TRUE;SS 25;8101180000000.0;SBO_00_DISRESALV;60748344/5950 LEOPARD BLK TRUE/714;714
60748344;5950;TRUE;BLACK;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;5950 LEOPARD BLK TRUE;SS 25;8101180000000.0;SBO_00_DISRESALV;60748344/5950 LEOPARD BLK TRUE/718;718
60748344;5950;TRUE;BLACK;HEADWEAR;TRUE NUEVE NUEVE DOS;VERDADERO;UNISEX;5950 LEOPARD BLK TRUE;SS 25;8101180000000.0;SBO_00_DISRESALV;60748344/5950 LEOPARD BLK TRUE/738;738
14499056;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLIGPH BACK BLACK;SS 25;1201180000000.0;SBO_00_DISRESALV;14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/L;L
14499057;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLI BK CHROME WHITE;SS 25;1201180000000.0;SBO_00_DISRESALV;14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/L;L
14499056;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLIGPH BACK BLACK;SS 25;1201180000000.0;SBO_00_DISRESALV;14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/XL;XL
14499057;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLI BK CHROME WHITE;SS 25;1201180000000.0;SBO_00_DISRESALV;14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/S;S
14499057;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLI BK CHROME WHITE;SS 25;1201180000000.0;SBO_00_DISRESALV;14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/M;M
14499057;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLI BK CHROME WHITE;SS 25;1201180000000.0;SBO_00_DISRESALV;14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/XL;XL
14499056;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLIGPH BACK BLACK;SS 25;1201180000000.0;SBO_00_DISRESALV;14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/S;S
14499056;T-SHIRT;NONE;0;APPAREL;NEW ERA BRANDED;NEW ERA BASIC;UNISEX;OS SS TEE NE BASIC CALLIGPH BACK BLACK;SS 25;1201180000000.0;SBO_00_DISRESALV;14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/M;M
60597366;POLO;NEW YORK YANKEES;NAVY;APPAREL;MLB;THROWBACK PREP;UNISEX;OS SS TEE NE BASIC CALLIGPH BACK BLACK;SS 25;1201180000000.0;SBO_00_DISRESALV;60597366/OS SS TEE NE BASIC CALLIGPH BACK BLACK/M;M
