KEY;U_Temporalidad;U_Segmento;U_Estilo;U_Descripcion;Grid;Size;UPC/EAN;Region;From Month;Delivery From;PLC;U_Genero;Line;U_Coleccion_NE;Onfield;Silhouette Group;U_Silueta;Family;Sport;U_Liga;U_Team;U_Descrip_Color;Production Season;Composition;Segmentation;Plant;Descr Español;Color Español;Mkt Initiative Range;Key Look ID;Price;Cost;Bill To;Customer Name;Commercial Name;Channel;Commercial Discount;Sales Manager (G1-G10);SALES EXECUTIVE;Execution Month;Total Units; $$ ;PO;Delivery Date;Launch Month;Reference;Comments;Period;ICD;Vendor;PAÍS DE ORIGEN;LIST PRICE;SHIP TO;SD;COMPRA;;
1439162770010049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;700;198358404882;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 24 ; 322.56 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162771210049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;712;198358404899;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 12 ; 161.28 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162771410049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;714;198358404905;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 36 ; 483.84 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162771810049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;718;198358404912;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 36 ; 483.84 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162773810049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;738;198358404936;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 24 ; 322.56 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162775810049574;SS25;HEADWEAR;14391627;5950 MLB VISOR LOGO SADPAD WAL INTL;700-800;758;198358404943;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;SAN DIEGO PADRES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 12 ; 161.28 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162870010049574;SS25;HEADWEAR;14391628;5950 MLB VISOR LOGO NEYYAN NVY INTL;700-800;700;198358404974;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;NEW YORK YANKEES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 48 ; 645.12 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162871210049574;SS25;HEADWEAR;14391628;5950 MLB VISOR LOGO NEYYAN NVY INTL;700-800;712;198358404981;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;NEW YORK YANKEES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 24 ; 322.56 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162871410049574;SS25;HEADWEAR;14391628;5950 MLB VISOR LOGO NEYYAN NVY INTL;700-800;714;198358404998;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;NEW YORK YANKEES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 72 ; 967.68 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
1439162871810049574;SS25;HEADWEAR;14391628;5950 MLB VISOR LOGO NEYYAN NVY INTL;700-800;718;198358405001;JAPAN;NOVEMBER;11/1/2024; 1 M;UNISEX;SEASONAL COLLECTION;VISOR LOGO;NO;5950;5950;;BASEBALL;MLB PROPERTIES;NEW YORK YANKEES;BLACK;3YJ;;NEC EXCLUSIVES;9008;;;;;$41.99;$13.44;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES;68%;DANIEL SALDIVAR;DAVID OSTOS;JANUARY; 72 ; 967.68 ;4500440269;;;;;; 10/25/2024;MAX SUCCEED ENTERPRISES LTD;VIETNAM;$21.00;2107499;10049574;JAPAN FW24;;
