KEY;U_Temporalidad;U_Segmento;U_Estilo;U_Descripcion;Grid;Size;UPC/EAN;Region;From Month;Delivery From;PLC;U_Genero;Line;U_Coleccion_NE;Onfield;Silhouette Group;U_Silueta;Family;Sport;U_Liga;U_Team;U_Descrip_Color;Production Season;Composition;Segmentation;Plant;Descr Español;Color Español;Mkt Initiative Range;Key Look ID; Price ; Cost ;Bill To;Customer Name;Commercial Name;Channel;Commercial Discount;Sales Manager (G1-G10);SALES EXECUTIVE;Execution Month; Total Units ; $$ ;PO;Delivery Date;Launch Month;Reference;Comments;Period;ICD;Vendor;PAÍS DE ORIGEN;LIST PRICE;SHIP TO;SD;COMPRA;PZAS CANCELADAS;N/A;status contra leo
1450004067810620000;FW 25;HEADWEAR;14500040;5950 PACK TONAL WAVE SADPAD WALNUT;634-800;678;198582187506;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;SAN DIEGO PADRES;DARK BROWN;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 19 ; $401.28 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004070010620000;FW 25;HEADWEAR;14500040;5950 PACK TONAL WAVE SADPAD WALNUT;634-800;700;198582187513;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;SAN DIEGO PADRES;DARK BROWN;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 76 ; $1,605.12 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004071810620000;FW 25;HEADWEAR;14500040;5950 PACK TONAL WAVE SADPAD WALNUT;634-800;718;198582187544;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;SAN DIEGO PADRES;DARK BROWN;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 57 ; $1,203.84 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004071410620000;FW 25;HEADWEAR;14500040;5950 PACK TONAL WAVE SADPAD WALNUT;634-800;714;198582187537;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;SAN DIEGO PADRES;DARK BROWN;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 38 ; $802.56 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004073810620000;FW 25;HEADWEAR;14500040;5950 PACK TONAL WAVE SADPAD WALNUT;634-800;738;198582187568;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;SAN DIEGO PADRES;DARK BROWN;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 38 ; $802.56 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004167810620000;FW 25;HEADWEAR;14500041;5950 PACK TONAL WAVE NEYYAN NAVY;634-800;678;198582187612;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;NEW YORK YANKEES;NAVY;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 44 ; $929.28 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004170010620000;FW 25;HEADWEAR;14500041;5950 PACK TONAL WAVE NEYYAN NAVY;634-800;700;198582187629;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;NEW YORK YANKEES;NAVY;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 176 ; $3,717.12 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004171810620000;FW 25;HEADWEAR;14500041;5950 PACK TONAL WAVE NEYYAN NAVY;634-800;718;198582187650;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;NEW YORK YANKEES;NAVY;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 132 ; $2,787.84 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004171410620000;FW 25;HEADWEAR;14500041;5950 PACK TONAL WAVE NEYYAN NAVY;634-800;714;198582187643;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;NEW YORK YANKEES;NAVY;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 88 ; $1,858.56 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
1450004173810620000;FW 25;HEADWEAR;14500041;5950 PACK TONAL WAVE NEYYAN NAVY;634-800;738;198582187674;APAC;APRIL;15/04/2025;1M;UNISEX;SEASONAL COLLECTION;TONAL WAVE;NO;5950;5950;;BASEBALL;MLB;NEW YORK YANKEES;NAVY;2Y8;0;NEC EXCLUSIVES;;;;;; $65.99 ; $21.12 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;68%;DANIEL SALDIVAR;DAVID OSTOS;JULY; 88 ; $1,858.56 ;4500458887;;;;;;  04/15/2025 ; Everbright Industrial Hong Kong Lim ; CHINA ;33.00;2107499;10622844;APAC LATAM;;;OK
