KEY;U_Temporalidad;U_Segmento;U_Estilo;MVP;U_Descripcion;Grid;Size;UPC/EAN;Region;From Month;Delivery From;PLC;U_Genero;Line;U_Coleccion_NE;Onfield;Silhouette Group;U_Silueta;Family;Sport;U_Liga;U_Team;U_Descrip_Color;Production Season;Composition;Segmentation;Plant;Descr Español;Color Español;Mkt Initiative Range;Key Look ID;Price;Cost;Bill To;Customer Name;Commercial Name;Channel;Commercial Discount;Sales Manager (G1-G10);SALES EXECUTIVE;Execution Month;Total Units;  $$  ;PO;Delivery Date;Launch Month;Reference;Comments;Period;ICD;Vendor;PAÍS DE ORIGEN;LIST PRICE;SHIP TO;SD;COMPRA;;
60564106S9605467;FW 24;APPAREL;60564106;0;M L2B JKT F3 E1367BG26 LOSDOD OTC;5S-3XL NEW;S;198058701748;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564106M9605467;FW 24;APPAREL;60564106;0;M L2B JKT F3 E1367BG26 LOSDOD OTC;5S-3XL NEW;M;198058701731;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564106L9605467;FW 24;APPAREL;60564106;0;M L2B JKT F3 E1367BG26 LOSDOD OTC;5S-3XL NEW;L;198058701724;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564106XL9605467;FW 24;APPAREL;60564106;0;M L2B JKT F3 E1367BG26 LOSDOD OTC;5S-3XL NEW;XL;198058701755;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;LOS ANGELES DODGERS;BLACK;5X1;0;LIFESTYLE;9008;;NEGRO;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564139S9605467;FW 24;APPAREL;60564139;0;M L2B JKT F3 E1367BG26 NEYYAN OTC;5S-3XL NEW;S;198058700123;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;NAVY;5X1;0;LIFESTYLE;9008;;AZUL;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564139M9605467;FW 24;APPAREL;60564139;0;M L2B JKT F3 E1367BG26 NEYYAN OTC;5S-3XL NEW;M;198058700116;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;NAVY;5X1;0;LIFESTYLE;9008;;AZUL;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564139L9605467;FW 24;APPAREL;60564139;0;M L2B JKT F3 E1367BG26 NEYYAN OTC;5S-3XL NEW;L;198058700109;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;NAVY;5X1;0;LIFESTYLE;9008;;AZUL;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564139XL9605467;FW 24;APPAREL;60564139;0;M L2B JKT F3 E1367BG26 NEYYAN OTC;5S-3XL NEW;XL;198058700130;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;NEW YORK YANKEES;NAVY;5X1;0;LIFESTYLE;9008;;AZUL;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564140S9605467;FW 24;APPAREL;60564140;0;M L2B JKT F3 E1367BG26 OAKATH OTC;5S-3XL NEW;S;198058699946;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;OAKLAND ATHLETICS;DARK GREEN;5X1;0;LIFESTYLE;9008;;VERDE;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;15;$1,875.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
60564140M9605467;FW 24;APPAREL;60564140;0;M L2B JKT F3 E1367BG26 OAKATH OTC;5S-3XL NEW;M;198058699939;NORTH AMERICA;JULY;15/07/2024;3M;UNISEX;COLLABORATION;ALPHA INDUSTRIES;NO;TOP;JACKETS;JACKET;COBRANDED BASEBALL;MLB;OAKLAND ATHLETICS;DARK GREEN;5X1;0;LIFESTYLE;9008;;VERDE;;;249.99;125;1029101;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NES/NEO;50%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;30;$3,750.00;4500423456;26/08/2024;;SHANGHAI 37;;;20/06/2024;213782 ALPHA INDUSTRIES;CHINA;125.00;2123953;9605467;Alpha Industries;;
