U_Estilo;U_Descrip_Color;U_Descripcion;Empresa;U_Division;U_Coleccion;U_Genero
43691;BLACK;GIZEH BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
43751;MOCHA;GIZEH BFBC BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
51061;BLUE;ARIZONA SFB BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
51101;DARK BROWN;ARIZONA NL BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
51701;DARK BROWN;ARIZONA BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
51791;BLACK;ARIZONA BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
128201;BLACK;GIZEH EVA BIRKENSTOCK;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
128221;WHITE;GIZEH EVA BIRKENSTOCK;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
151211;STONE;ARIZONA BFBC BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
151213;STONE;ARIZONA BFBC BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
452763;HABANA;ARIZONA SFB LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
551251;BLACK;ARIZONA SFB BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
745531;WHITE;GIZEH BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1005960;METALLIC SILVER;ARIZONA SFB LENA BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1013643;BLUE;ARIZONA SFB LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
1013644;BLUE;ARIZONA SFB LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
1014190;WHITE;MAYARI BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1016110;GOLD;ARIZONA BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1018745;COGNAC HEX;GIZEH BIG BUCKLE LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1024550; THYME VEG;ARIZONA SYN DESERT DUST BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1025255;GRACEFUL MARS RED;MAYARI BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
129423;BLACK;ARIZONA EVA BIRKENSTOCK;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
129443;WHITE;ARIZONA EVA BIRKENSTOCK;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
151181;MOCCA;ARIZONA BFBC BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
230114;BLACK;ARIZONA SL BF BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
452761;HABANA;ARIZONA SFB LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
752481;BLACK;ARIZONA SFB LEOI BIRKENSTOCK;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
352201;TABACCO BROWN;ARIZONA LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
352203;TABACCO BROWN;ARIZONA LEOI ;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1011075;BLACK HEX;ARIZONA BIG BUCKLE LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
1016107;GOLD;MADRID BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1016108;GOLD;GIZEH BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1021349;BLACK;GIZEH BRAIDED LEOI;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1022465;GOLD;ARIZONA EVA GLAMOUR;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1023942;COPPER;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1024691;LIME;ARIZONA EVA FADED;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1024945;WHITE;ARIZONA SFB NL;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
1026585;ECRU;ARIZONA BIG BUCKLE LENB;SBO_00_DISRESALV;ACTIVE;SEASONAL;WOMENS
1027355;PINK;ARIZONA EVA FONDANT;SBO_00_DISRESALV;ACTIVE;SEASONAL;WOMENS
1027384;EGGSHELL;ARIZONA EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1027400;GREEN;GIZEH EVA SURF;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1027402;ROAST;ARIZONA EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
34871;HABANA;MILANO LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
43391;STONE;GIZEH BFBC;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
43851;SILVER;GIZEH BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
51703;DARK BROWN;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
51793;BLACK;ARIZONA BF ;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
53011;BLACK;FLORIDA SFB BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
53881;MOCCA;FLORIDA SFB BFBC;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
129421;BLACK;ARIZONA EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
151183;MOCCA;ARIZONA BFBC;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
259881;BLACK LAF;BOSTON SHEARLING LEVE;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
259883;BLACK LAF;BOSTON SHEARLING LEVE;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
552111;BLACK;ARIZONA LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
552681;WHITE;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
555123;BLACK;ARIZONA KIDS BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;BOYS
960811;TABACCO BROWN;BOSTON LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1005048;METALLIC COPPER;GIZEH SFB LENA;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1012478;METALLIC COPPER;ARIZONA KIDS BF ELECTRIC;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;GIRLS
1014614;LIGHT ROSE;ARIZONA EVA;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1017374;CAMO KHAKI;ARIZONA KIDS BF DESERT SOIL;SBO_00_DISRESALV;CLASSIC;0;UNISEX
1018461;BLACK;ARIZONA CT M LEOI;SBO_00_DISRESALV;ACTIVE;SEASONAL;MENS
1018463;KHAKI;ARIZONA CT M LEOI FADED;SBO_00_DISRESALV;ACTIVE;SEASONAL;MENS
1018923;PURPLE;ARIZONA EVA KIDS BEETROOT;SBO_00_DISRESALV;ACTIVE;0;WOMENS
1019094;KHAKI;ARIZONA EVA;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
1019143;KHAKI;GIZEH EVA;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1019703;BLACK/WHITE;ARIZONA SPLIT BF;SBO_00_DISRESALV;CLASSIC;0;UNISEX
1022173;SILVER VEG;ARIZONA K MF FLASHY HOLOGRAM;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1022466;POPCORN;ARIZONA EVA;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1023042;BLACK VEG;ARIZONA SYN DESERT DUST;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1023160;EGGSHELL;BOSTON FE;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1023434;LAVENDERBLUSHVEG;ARIZONA K BFBC EARTHY V;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1023943;METALLIC COPPER;GIZEH BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1023960;COPPER;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;SEASONAL;WOMENS
1025484;THYME VEG;MAYARI SYN SOFT;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1025779;BR VEG;ARIZONA SYN DESERT DUST;SBO_00_DISRESALV;CLASSIC;SEASONAL;MENS
1027191;BLACK;SUPER-BIRKI FUSION PU;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
160581;CACAO;BOSTON FE ;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1019152;KHAKI;ARIZONA EVA ;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
1019484;TABACCO BROWN;BOSTON LEOI SFB ;SBO_00_DISRESALV;CLASSIC;SEASONAL;UNISEX
129441;WHITE;ARIZONA EVA ;SBO_00_DISRESALV;ACTIVE;SEASONAL;UNISEX
552683;WHITE;ARIZONA BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
1019656;EARTHY  VEG LIGHT  ROSE VEG;GIZEH  BFBC  ;SBO_00_DISRESALV;CLASSIC;0;WOMENS
1027726;LATTE CREAM;ARIZONA LEVE  ;SBO_00_DISRESALV;CLASSIC;0;UNISEX
43663;PATENT BLACK;GIZEH BF;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;WOMENS
52533;HABANA;ARIZONA LEOI;SBO_00_DISRESALV;CLASSIC;CORE ESSENTIAL;UNISEX
