ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
1005960/ARIZONA SFB LENA BIRKENSTOCK/36/METALLIC SILVER;110000154061368;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1005960;WOMENS;ARIZONA SFB LENA BIRKENSTOCK;METALLIC SILVER;CLASSIC;1;886926000000.0;BIRKEN
1005960/ARIZONA SFB LENA BIRKENSTOCK/37/METALLIC SILVER;110000154061468;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1005960;WOMENS;ARIZONA SFB LENA BIRKENSTOCK;METALLIC SILVER;CLASSIC;1;886926000000.0;BIRKEN
1005960/ARIZONA SFB LENA BIRKENSTOCK/38/METALLIC SILVER;110000154061568;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1005960;WOMENS;ARIZONA SFB LENA BIRKENSTOCK;METALLIC SILVER;CLASSIC;1;886926000000.0;BIRKEN
1005960/ARIZONA SFB LENA BIRKENSTOCK/39/METALLIC SILVER;110000154061668;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1005960;WOMENS;ARIZONA SFB LENA BIRKENSTOCK;METALLIC SILVER;CLASSIC;1;886926000000.0;BIRKEN
1014190/MAYARI BF BIRKENSTOCK/37/WHITE;110000183991468;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1014190;WOMENS;MAYARI BF BIRKENSTOCK;WHITE;CLASSIC;1;802436000000.0;BIRKEN
1014190/MAYARI BF BIRKENSTOCK/38/WHITE;110000183991568;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1014190;WOMENS;MAYARI BF BIRKENSTOCK;WHITE;CLASSIC;1;802436000000.0;BIRKEN
1014190/MAYARI BF BIRKENSTOCK/39/WHITE;110000183991668;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1014190;WOMENS;MAYARI BF BIRKENSTOCK;WHITE;CLASSIC;1;802436000000.0;BIRKEN
1014190/MAYARI BF BIRKENSTOCK/40/WHITE;110000183991768;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1014190;WOMENS;MAYARI BF BIRKENSTOCK;WHITE;CLASSIC;1;802436000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/35/GOLD;110000194011268;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/36/GOLD;110000194011368;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/37/GOLD;110000194011468;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/38/GOLD;110000194011568;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/39/GOLD;110000194011668;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016110/ARIZONA BF BIRKENSTOCK/40/GOLD;110000194011768;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Seasonal;1016110;WOMENS;ARIZONA BF BIRKENSTOCK;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1018745/GIZEH BIG BUCKLE LEOI BIRKENSTOCK/37/COGNAC HEX;110000204181468;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Core Essential;1018745;WOMENS;GIZEH BIG BUCKLE LEOI BIRKENSTOCK;COGNAC HEX;CLASSIC;1;822699000000.0;BIRKEN
1018745/GIZEH BIG BUCKLE LEOI BIRKENSTOCK/38/COGNAC HEX;110000204181568;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Core Essential;1018745;WOMENS;GIZEH BIG BUCKLE LEOI BIRKENSTOCK;COGNAC HEX;CLASSIC;1;822699000000.0;BIRKEN
1018745/GIZEH BIG BUCKLE LEOI BIRKENSTOCK/39/COGNAC HEX;110000204181668;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Core Essential;1018745;WOMENS;GIZEH BIG BUCKLE LEOI BIRKENSTOCK;COGNAC HEX;CLASSIC;1;822699000000.0;BIRKEN
1018745/GIZEH BIG BUCKLE LEOI BIRKENSTOCK/40/COGNAC HEX;110000204181768;SBO_00_DISRESALV;19/03/2024 0:00;14/06/2024 0:00;Core Essential;1018745;WOMENS;GIZEH BIG BUCKLE LEOI BIRKENSTOCK;COGNAC HEX;CLASSIC;1;822699000000.0;BIRKEN
1011075/ARIZONA BIG BUCKLE LEOI /39/BLACK HEX;110000314051668;SBO_00_DISRESALV;14/05/2024 0:00;05/05/2025 0:00;Core Essential;1011075;WOMENS;ARIZONA BIG BUCKLE LEOI;BLACK HEX;CLASSIC;1;886457000000.0;BIRKEN
1011075/ARIZONA BIG BUCKLE LEOI /41/BLACK HEX;110000314051868;SBO_00_DISRESALV;29/10/2024 0:00;05/05/2025 0:00;Core Essential;1011075;WOMENS;ARIZONA BIG BUCKLE LEOI ;BLACK HEX;CLASSIC;1;886457000000.0;BIRKEN
1011075/ARIZONA BIG BUCKLE LEOI /42/BLACK HEX;110000314051968;SBO_00_DISRESALV;29/10/2024 0:00;05/05/2025 0:00;Core Essential;1011075;WOMENS;ARIZONA BIG BUCKLE LEOI ;BLACK HEX;CLASSIC;1;886457000000.0;BIRKEN
1016108/GIZEH BF /37/GOLD;110000334011468;SBO_00_DISRESALV;14/05/2024 0:00;11/09/2024 0:00;Seasonal;1016108;WOMENS;GIZEH BF;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016108/GIZEH BF /38/GOLD;110000334011568;SBO_00_DISRESALV;14/05/2024 0:00;20/11/2024 0:00;Seasonal;1016108;WOMENS;GIZEH BF;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016108/GIZEH BF /39/GOLD;110000334011668;SBO_00_DISRESALV;14/05/2024 0:00;20/11/2024 0:00;Seasonal;1016108;WOMENS;GIZEH BF;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1016108/GIZEH BF /40/GOLD;110000334011768;SBO_00_DISRESALV;14/05/2024 0:00;25/03/2025 0:00;Seasonal;1016108;WOMENS;GIZEH BF;GOLD;CLASSIC;1;802437000000.0;BIRKEN
1021349/GIZEH BRAIDED LEOI /36/BLACK;110000344051368;SBO_00_DISRESALV;14/05/2024 0:00;13/12/2024 0:00;Seasonal;1021349;WOMENS;GIZEH BRAIDED LEOI;BLACK;CLASSIC;1;887759000000.0;BIRKEN
1021349/GIZEH BRAIDED LEOI /37/BLACK;110000344051468;SBO_00_DISRESALV;14/05/2024 0:00;14/06/2024 0:00;Seasonal;1021349;WOMENS;GIZEH BRAIDED LEOI;BLACK;CLASSIC;1;887759000000.0;BIRKEN
1021349/GIZEH BRAIDED LEOI /38/BLACK;110000344051568;SBO_00_DISRESALV;14/05/2024 0:00;13/12/2024 0:00;Seasonal;1021349;WOMENS;GIZEH BRAIDED LEOI;BLACK;CLASSIC;1;887759000000.0;BIRKEN
1021349/GIZEH BRAIDED LEOI /39/BLACK;110000344051668;SBO_00_DISRESALV;14/05/2024 0:00;13/12/2024 0:00;Seasonal;1021349;WOMENS;GIZEH BRAIDED LEOI;BLACK;CLASSIC;1;887759000000.0;BIRKEN
1021349/GIZEH BRAIDED LEOI /40/BLACK;110000344051768;SBO_00_DISRESALV;14/05/2024 0:00;03/12/2024 0:00;Seasonal;1021349;WOMENS;GIZEH BRAIDED LEOI;BLACK;CLASSIC;1;887759000000.0;BIRKEN
1023942/ARIZONA BF /37/COPPER;110000364001468;SBO_00_DISRESALV;14/05/2024 0:00;14/06/2024 0:00;Seasonal;1023942;WOMENS;ARIZONA BF;COPPER;CLASSIC;1;192761000000.0;BIRKEN
1023942/ARIZONA BF /38/COPPER;110000364001568;SBO_00_DISRESALV;14/05/2024 0:00;14/06/2024 0:00;Seasonal;1023942;WOMENS;ARIZONA BF;COPPER;CLASSIC;1;192761000000.0;BIRKEN
1023942/ARIZONA BF /39/COPPER;110000364001668;SBO_00_DISRESALV;14/05/2024 0:00;14/06/2024 0:00;Seasonal;1023942;WOMENS;ARIZONA BF;COPPER;CLASSIC;1;192761000000.0;BIRKEN
1026585/ARIZONA BIG BUCKLE LENB/37/ECRU;110000393981468;SBO_00_DISRESALV;15/05/2024 0:00;14/06/2024 0:00;;1026585;WOMENS;ARIZONA BIG BUCKLE LENB;ECRU;ACTIVE;1;192762000000.0;BIRKEN
